ID_ORIGEN,NOMBRE_ORIGEN,ID_DESTINO,NOMBRE_DESTINO,CONTEO
9,LIDO,14,SAN BOSCO,44
9,LIDO,15,SAN PASCUA,25
9,LIDO,23,SUCRE,0
9,LIDO,24,PETECUY,15
9,LIDO,25,SAN PEDRO,34
9,LIDO,26,T. CALI,31
9,LIDO,27,FRAY DAMIAN,0
9,LIDO,28,CENTRO,51
9,LIDO,29,ERMITA,83
9,LIDO,30,RIO CALI,2
9,LIDO,31,SAN NICOLA,2
9,LIDO,32,PILOTO,2
9,LIDO,33,FATIMA,7
9,LIDO,34,MANZANARES,10
9,LIDO,35,POPULAR,18
9,LIDO,36,SALOMIA,23
9,LIDO,37,FLORA IND,28
9,LIDO,38,CHIMINANGOS,117
9,LIDO,39,UNIVERSIDA,167
9,LIDO,40,UND DEPORT,26
9,LIDO,42,CAICEDO,22
9,LIDO,43,VERSALLES,34
9,LIDO,44,AMERICAS,64
9,LIDO,45,PRADOS,17
9,LIDO,46,VIPASA,8
9,LIDO,47,ALAMOS,34
9,LIDO,56,TERMINAL MENGA,33
10,TEQUENDAMA,1,UNIVALLE,46
10,TEQUENDAMA,2,BUITRERA,237
10,TEQUENDAMA,3,MELENDEZ,290
10,TEQUENDAMA,4,CAPRI,173
10,TEQUENDAMA,5,CALDAS,152
10,TEQUENDAMA,6,REFUGIO,132
10,TEQUENDAMA,7,PAMPALINDA,182
10,TEQUENDAMA,8,PLZ TOROS,56
10,TEQUENDAMA,9,LIDO,24
10,TEQUENDAMA,10,TEQUENDAMA,628
10,TEQUENDAMA,11,ESTADIO,98
10,TEQUENDAMA,12,MZ. SABER,139
10,TEQUENDAMA,13,ST LIBRADA,163
10,TEQUENDAMA,14,SAN BOSCO,156
10,TEQUENDAMA,15,SAN PASCUA,65
10,TEQUENDAMA,23,SUCRE,3
10,TEQUENDAMA,24,PETECUY,66
10,TEQUENDAMA,25,SAN PEDRO,132
10,TEQUENDAMA,26,T. CALI,123
10,TEQUENDAMA,27,FRAY DAMIAN,10
10,TEQUENDAMA,28,CENTRO,136
10,TEQUENDAMA,29,ERMITA,227
10,TEQUENDAMA,30,RIO CALI,10
10,TEQUENDAMA,31,SAN NICOLA,7
10,TEQUENDAMA,32,PILOTO,10
10,TEQUENDAMA,33,FATIMA,33
10,TEQUENDAMA,34,MANZANARES,30
10,TEQUENDAMA,35,POPULAR,66
10,TEQUENDAMA,36,SALOMIA,162
10,TEQUENDAMA,37,FLORA IND,254
10,TEQUENDAMA,38,CHIMINANGOS,568
10,TEQUENDAMA,39,UNIVERSIDA,636
10,TEQUENDAMA,40,UND DEPORT,159
10,TEQUENDAMA,42,CAICEDO,99
10,TEQUENDAMA,43,VERSALLES,94
10,TEQUENDAMA,44,AMERICAS,231
10,TEQUENDAMA,45,PRADOS,62
10,TEQUENDAMA,46,VIPASA,56
10,TEQUENDAMA,47,ALAMOS,136
10,TEQUENDAMA,56,TERMINAL MENGA,118
11,ESTADIO,1,UNIVALLE,101
11,ESTADIO,2,BUITRERA,289
11,ESTADIO,3,MELENDEZ,323
11,ESTADIO,4,CAPRI,167
11,ESTADIO,5,CALDAS,132
11,ESTADIO,6,REFUGIO,127
11,ESTADIO,7,PAMPALINDA,170
11,ESTADIO,8,PLZ TOROS,49
11,ESTADIO,9,LIDO,51
11,ESTADIO,10,TEQUENDAMA,97
11,ESTADIO,11,ESTADIO,502
11,ESTADIO,12,MZ. SABER,40
11,ESTADIO,13,ST LIBRADA,117
11,ESTADIO,14,SAN BOSCO,112
11,ESTADIO,15,SAN PASCUA,64
11,ESTADIO,23,SUCRE,8
11,ESTADIO,24,PETECUY,44
11,ESTADIO,25,SAN PEDRO,83
11,ESTADIO,26,T. CALI,84
11,ESTADIO,27,FRAY DAMIAN,6
11,ESTADIO,28,CENTRO,123
11,ESTADIO,29,ERMITA,112
11,ESTADIO,30,RIO CALI,12
11,ESTADIO,31,SAN NICOLA,3
11,ESTADIO,32,PILOTO,7
11,ESTADIO,33,FATIMA,35
11,ESTADIO,34,MANZANARES,39
11,ESTADIO,35,POPULAR,70
11,ESTADIO,36,SALOMIA,140
11,ESTADIO,37,FLORA IND,214
11,ESTADIO,38,CHIMINANGOS,470
11,ESTADIO,39,UNIVERSIDA,622
11,ESTADIO,40,UND DEPORT,136
11,ESTADIO,42,CAICEDO,78
11,ESTADIO,43,VERSALLES,61
11,ESTADIO,44,AMERICAS,149
11,ESTADIO,45,PRADOS,71
11,ESTADIO,46,VIPASA,65
11,ESTADIO,47,ALAMOS,127
11,ESTADIO,56,TERMINAL MENGA,125
12,MZ. SABER,1,UNIVALLE,45
12,MZ. SABER,2,BUITRERA,93
12,MZ. SABER,3,MELENDEZ,113
12,MZ. SABER,4,CAPRI,77
12,MZ. SABER,5,CALDAS,75
12,MZ. SABER,6,REFUGIO,75
12,MZ. SABER,7,PAMPALINDA,81
12,MZ. SABER,8,PLZ TOROS,31
12,MZ. SABER,9,LIDO,55
12,MZ. SABER,10,TEQUENDAMA,131
12,MZ. SABER,11,ESTADIO,36
12,MZ. SABER,12,MZ. SABER,223
12,MZ. SABER,13,ST LIBRADA,65
12,MZ. SABER,14,SAN BOSCO,65
12,MZ. SABER,15,SAN PASCUA,37
12,MZ. SABER,23,SUCRE,1
12,MZ. SABER,24,PETECUY,42
12,MZ. SABER,25,SAN PEDRO,53
12,MZ. SABER,26,T. CALI,54
12,MZ. SABER,27,FRAY DAMIAN,4
12,MZ. SABER,28,CENTRO,83
12,MZ. SABER,29,ERMITA,118
12,MZ. SABER,30,RIO CALI,4
12,MZ. SABER,31,SAN NICOLA,4
12,MZ. SABER,32,PILOTO,3
12,MZ. SABER,33,FATIMA,24
12,MZ. SABER,34,MANZANARES,24
12,MZ. SABER,35,POPULAR,46
12,MZ. SABER,36,SALOMIA,59
12,MZ. SABER,37,FLORA IND,105
12,MZ. SABER,38,CHIMINANGOS,235
