ID_ORIGEN,NOMBRE_ORIGEN,ID_DESTINO,NOMBRE_DESTINO,CONTEO
23,SUCRE,23,SUCRE,7
23,SUCRE,24,PETECUY,1
23,SUCRE,25,SAN PEDRO,1
23,SUCRE,26,T. CALI,1
23,SUCRE,27,FRAY DAMIAN,2
23,SUCRE,28,CENTRO,0
23,SUCRE,29,ERMITA,0
23,SUCRE,30,RIO CALI,0
23,SUCRE,31,SAN NICOLA,0
23,SUCRE,32,PILOTO,0
23,SUCRE,33,FATIMA,0
23,SUCRE,34,MANZANARES,0
23,SUCRE,35,POPULAR,0
23,SUCRE,36,SALOMIA,1
23,SUCRE,37,FLORA IND,5
23,SUCRE,38,CHIMINANGOS,4
23,SUCRE,39,UNIVERSIDA,1
23,SUCRE,40,UND DEPORT,7
23,SUCRE,42,CAICEDO,0
23,SUCRE,43,VERSALLES,2
23,SUCRE,44,AMERICAS,3
23,SUCRE,45,PRADOS,0
23,SUCRE,46,VIPASA,1
23,SUCRE,47,ALAMOS,0
23,SUCRE,56,TERMINAL MENGA,0
24,PETECUY,1,UNIVALLE,1
24,PETECUY,2,BUITRERA,3
24,PETECUY,3,MELENDEZ,20
24,PETECUY,4,CAPRI,9
24,PETECUY,5,CALDAS,10
24,PETECUY,6,REFUGIO,1
24,PETECUY,7,PAMPALINDA,8
24,PETECUY,8,PLZ TOROS,3
24,PETECUY,9,LIDO,3
24,PETECUY,10,TEQUENDAMA,14
24,PETECUY,11,ESTADIO,15
