STOPID,SHORTNAME,LONGNAME,LONGITUDE,LATITUDE
511114,CASCAJAL,Puerto_cascajal,-76.49196833,3.31718333
511115,V_HORMI3,Via principal_hormiguero3,-76.48815833,3.31407167
511116,V_HORMI4,Via_principal hormi4 089,-76.48418000,3.31316667
511117,V_HORMI5,Via_hormi5_col asuncion,-76.48129889,3.31227861
511118,V_HORMI6,V_hormi C216,-76.47839000,3.31257722
511119,V_HORMI7,V-hormi7 C122,-76.48192222,3.31291917
511120,V_HORMI8,V_hormi8 C087,-76.48432667,3.31323833
511121,V_HORMI9,V_hormi9 rosy,-76.48819000,3.31402000
511122,CAL_PUER,Via cali_puerto,-76.49057167,3.31610167
511123,V_CASCA2,via_cascajal2,-76.49263028,3.31688889
511124,V_CASCA3,Via_cascajal3 urb flamenco,-76.49850111,3.31653361
511125,V_CASCA4,Via_cascajal4 Centro educativo,-76.50331472,3.31634278
511126,V_CASCA5,Via_cascajal5,-76.50737833,3.31642361
511127,V_CASCA6,Via_cascajal6 equilar C099,-76.51170444,3.31792722
511128,V_CASCA7,Via_cascajal7 col-santa maria pance,-76.51392750,3.31810639
511129,V_CASCA8,Via_cascajal8 Conchita,-76.51866750,3.31783750
511130,V_CASCA9,Via_cascajal9 Presentacion,-76.52182750,3.31753583
511131,MARAÑON,Urb Marañon,-76.50854333,3.33053333
511132,C36K128,Cl 36 entre Kr 128 y 129,-76.52289139,3.33020833
511134,C36K146,Cl 36 entre Kr 146 y 148,-76.52311583,3.31385500
511135,C36K170,Cl 36 entre Kr 170 y 168,-76.52238778,3.29623417
511136,C36K134,Cl 36 entre Kr 134 y 128,-76.52269611,3.33035889
511137,C25K118,Cl 25 entre Kr 122 y 118,-76.52411667,3.34679250
511138,AV-MELEN,Av los Cerros Melendez,-76.54928528,3.34454583
511139,AV-MELE2,Av los Cerros con Cl 2 Acceso Vial,-76.55718222,3.34833500
511140,ECOPAR11,Via La Voragine Ecoparque 1 entrada,-76.56272194,3.34945139
511141,ECOPAR21,Via La Voragine Ecoparque 2 entrada,-76.56544556,3.34941667
511142,ECOPAR31,Via La Voragine Ecoparque 3 entrada,-76.56998750,3.34879722
511143,ECOPAR41,Via La Voragine Ecoparque 4 entrada,-76.57243861,3.34867167
511144,VORAGI1,La Voragine Fin,-76.58889111,3.34468750
511145,VORAGI2,La Voragine Ini,-76.58878556,3.34499194
511146,ECOPAR42,Via La Voragine Ecoparque 4 entrada,-76.57235528,3.34857306
511147,ECOPAR32,Via La Voragine Ecoparque 3 entrada,-76.56993444,3.34868333
511148,ECOPAR22,Via La Voragine Ecoparque 2 entrada,-76.56527500,3.34925361
511149,ECOPAR12,Via La Voragine Ecoparque 1 entrada,-76.56258167,3.34933389
511150,AV-MELE1,Av los Cerros con Cl 2 Acceso Vial,-76.55664444,3.34808500
511151,K122C4,Kr 122 entre Cl 4 y 5,-76.54749583,3.34204722
511152,K109C25,Kr 109 entre Cl 25 y 26 Entrada Callejon,-76.52368139,3.35890361
511153,K109C50,Kr 109 con Cl 50 Reformatorio Valle del ,-76.51448167,3.35834000
511154,K109C57,Kr 109 con Cl 57 Colegio Philadelphia,-76.51084000,3.35805333
511155,K118COM1,Kr 118 Callejon Jagua Comfenalco Valle d,-76.50294111,3.35919278
511156,K118JUV1,Kr 118 Callejon Jagua Colegio Juvenilia,-76.49876194,3.36174361
511157,K118JAG1,Kr 118 Callejon Jagua Club Cañasgordas,-76.49529222,3.36366861
511158,K118JUV2,Kr 118 Callejon Jagua Colegio Juvenilia,-76.49855778,3.36204333
511159,K118COM2,Kr 118 Callejon Jagua Comfenalco Valle d,-76.50338222,3.35913889
511160,K109C571,Kr 109 con Cl 57 PVL,-76.51119889,3.35819639
511161,K109C501,Kr 109 con Cl 50 Reformatorio Valle del ,-76.51399389,3.35839417
511162,K109C26,Kr 109 entre Cl 26 y 25,-76.52363944,3.35903806
511163,K95C4,Kr 95 entre Cl 4 y 3D,-76.54764139,3.37418444
511164,K95C3,Kr 95 entre Cl 3 y Kr 95A,-76.54948500,3.37407083
511165,K94BC2B,Kr 94B entre Cl 2B y 2,-76.55144639,3.37532667
511166,K94CC2,Kr 94C entre Cl 2 y 1A Oeste,-76.55343667,3.37415583
511167,K95C1AO,Kr 95C con Cl 1A Oeste,-76.55514028,3.37357472
511168,K96C1O,Kr 96 entre Cl 1 Oe y 2 Oe,-76.55563500,3.37329222
511169,C4OK94B,Cl 4 Oe entre Kr 94B y 94A,-76.55761278,3.37335500
511170,C4OK94A,Cl 4 Oe entre Kr 94A y 94,-76.55923278,3.37520806
511171,C4OK94BI,Cl 4 Oe entre Kr 94 Bis y 94A,-76.55916694,3.37503972
511172,K96C3O,Kr 96 entre Cl 3 Oe y 1 Oe,-76.55603694,3.37329028
511173,K95C1AO1,Kr 95 entre Cl 1a Oe y 1A,-76.55476444,3.37339111
511174,K94CC1O,Kr 94C entre Cl 1 Oe y 1B,-76.55448889,3.37429194
511175,K94BC2,Kr 94B entre Cl 2 y 2B,-76.55191722,3.37521194
511176,C2BK95A,Cl 2B entre Kr 95A y 94D,-76.55034278,3.37442028
511177,K95C3C,Kr 95 entre Cl 3 y 3C,-76.54854556,3.37406722
511178,C16K100,Cl 16 entre Kr 100 y 102,-76.53065111,3.36603222
511179,C18K105,Cl 18 entre Kr 105 y 106,-76.53193083,3.36332778
511180,C18K1301,Cl 18 entre Kr 130 y 137,-76.53355056,3.32642194
511181,C18K1302,Cl 18 entre Kr 137 y 130,-76.53339444,3.32639611
511183,K102C12,Kr 102 entre Cl 12 y 11B,-76.53986944,3.36818028
511187,K100C11,Kr 100 entre Cl 11 y 12,-76.53917389,3.37200806
511192,C18K106,Cl 18 entre Kr 106 y 108,-76.53097833,3.36064667
511193,C18K114,Cl 18 entre Kr 106 y 114,-76.53055500,3.35821167
511194,C18K114B,Cl 18 entre Kr 114B y 115,-76.53034583,3.35242194
511195,C18K122,Cl 18 entre Kr 115 y 122,-76.53091917,3.34364833
511196,C18K125,Cl 18 entre Kr 122 y 125,-76.53109389,3.34128417
511197,C18K125A,C18 entre K125 y 125A,-76.53166000,3.33772167
511198,C18K126,Cl 18 entre Kr 126 y 127,-76.53248500,3.33401333
511199,C18K127,Cl 18 entre Kr 127 y 129,-76.53288000,3.33062500
511201,C18K137,Cl 18 entre Kr 137 y 141,-76.53446222,3.32392833
511202,C18K141,Cl 18 entre Kr 141 y 142,-76.53590806,3.31976611
511203,C18K146,Cl 18 entre Kr 146 y 152,-76.53759278,3.31494167
511204,C18K170,Cl 18 con Kr 170,-76.54006694,3.30738333
511206,C18K1682,Cl 18 con Kr 168 2,-76.53947361,3.30914944
511207,C18K150,Cl 18 entre Kr 150 y 146,-76.53735139,3.31514750
511208,C18K142,Cl 8 entre Kr 142 y 141,-76.53568472,3.31971056
511209,C18K1412,Cl 18 entre Kr 141 y 137,-76.53425917,3.32376806
511210,C18K1291,Cl 18 entre Kr 129 y 127C,-76.53285667,3.32905500
511212,C18K127C,Cl 18 entre Kr 127C y 127,-76.53260833,3.33272500
