ID,LINEA,SENTIDO,PUNTO_INI,INI_LONGITUDE,INI_LATITUDE,PUNTO_FIN,FIN_LONGITUDE,FIN_LATITUDE,CONCAT_SHT,LENGTH
2206,A42A,Vuelta,T103C78B,-76.47873083,3.43305861,T103C772,-76.47974639,3.43586028,T103C78B-T103C772,325
2207,A42A,Vuelta,T103C772,-76.47974639,3.43586028,T103C74,-76.48063806,3.43837639,T103C772-T103C74,256
2208,A42A,Vuelta,T103C74,-76.48063806,3.43837639,T103C73C,-76.48112056,3.43968,T103C74-T103C73C,154
2209,A42A,Vuelta,T103C73C,-76.48112056,3.43968,A.SANI17,-76.48255917,3.44351,T103C73C-A.SANI17,991
2213,A42B,Ida,T103K28B,-76.47931111,3.41419556,T103K27B,-76.47876417,3.41725917,T103K28B-T103K27B,346
2214,A42B,Ida,T103K27B,-76.47876417,3.41725917,T103D262,-76.47831361,3.42000778,T103K27B-T103D262,309
2215,A42B,Ida,T103D262,-76.47831361,3.42000778,T103D264,-76.4777675,3.42287833,T103D262-T103D264,244
2216,A42B,Ida,T103D264,-76.4777675,3.42287833,T103C94,-76.4770775,3.426485,T103D264-T103C94,405
2217,A42B,Ida,T103C94,-76.4770775,3.426485,T103C84,-76.47750333,3.42956694,T103C94-T103C84,377
2218,A42B,Ida,T103C84,-76.47750333,3.42956694,T103C80A,-76.47835083,3.43187833,T103C84-T103C80A,416
2219,A42B,Ida,T103C80A,-76.47835083,3.43187833,T103C78B,-76.47873083,3.43305861,T103C80A-T103C78B,100
2220,A42B,Ida,T103C78B,-76.47873083,3.43305861,T103C772,-76.47974639,3.43586028,T103C78B-T103C772,325
2221,A42B,Ida,T103C772,-76.47974639,3.43586028,T103C74,-76.48063806,3.43837639,T103C772-T103C74,256
2222,A42B,Ida,T103C74,-76.48063806,3.43837639,T103C73C,-76.48112056,3.43968,T103C74-T103C73C,154
2223,A42B,Ida,T103C73C,-76.48112056,3.43968,A.SANI17,-76.48255917,3.44351,T103C73C-A.SANI17,991
2224,A42B,Vuelta,A.SANI17,-76.48255917,3.44351,T103K26A,-76.48116917,3.43948194,A.SANI17-T103K26A,626
2225,A42B,Vuelta,T103K26A,-76.48116917,3.43948194,T103C56B,-76.48068944,3.43800583,T103K26A-T103C56B,277
2226,A42B,Vuelta,T103C56B,-76.48068944,3.43800583,T103C76,-76.47991083,3.43579639,T103C56B-T103C76,253
2227,A42B,Vuelta,T103C76,-76.47991083,3.43579639,T103C79,-76.47878889,3.43242333,T103C76-T103C79,376
2228,A42B,Vuelta,T103C79,-76.47878889,3.43242333,T103D26I,-76.47753167,3.42898167,T103C79-T103D26I,400
2229,A42B,Vuelta,T103D26I,-76.47753167,3.42898167,T103D26O,-76.47734417,3.42623722,T103D26I-T103D26O,316
2230,A42B,Vuelta,T103D26O,-76.47734417,3.42623722,T103D26P,-76.47764667,3.42476667,T103D26O-T103D26P,155
2231,A42B,Vuelta,T103D26P,-76.47764667,3.42476667,T103D261,-76.47796694,3.42285083,T103D26P-T103D261,248
2232,A42B,Vuelta,T103D261,-76.47796694,3.42285083,T103D263,-76.47836472,3.42066556,T103D261-T103D263,262
2233,A42B,Vuelta,T103D263,-76.47836472,3.42066556,C102K27C,-76.47907389,3.41674778,T103D263-C102K27C,382
2234,A42B,Vuelta,C102K27C,-76.47907389,3.41674778,T103K28B,-76.47931111,3.41419556,C102K27C-T103K28B,541
2238,A44A,Ida,A.SANI14,-76.48359917,3.44348861,T103K26A,-76.48116917,3.43948194,A.SANI14-T103K26A,748
2239,A44A,Ida,T103K26A,-76.48116917,3.43948194,T103C56B,-76.48068944,3.43800583,T103K26A-T103C56B,277
2240,A44A,Ida,T103C56B,-76.48068944,3.43800583,T103C76,-76.47991083,3.43579639,T103C56B-T103C76,253
2241,A44A,Ida,T103C76,-76.47991083,3.43579639,T103C79,-76.47878889,3.43242333,T103C76-T103C79,376
2242,A44A,Ida,T103C79,-76.47878889,3.43242333,T103D26I,-76.47753167,3.42898167,T103C79-T103D26I,400
2243,A44A,Ida,T103D26I,-76.47753167,3.42898167,T103D26O,-76.47734417,3.42623722,T103D26I-T103D26O,316
2244,A44A,Ida,T103D26O,-76.47734417,3.42623722,T103D26P,-76.47764667,3.42476667,T103D26O-T103D26P,155
2245,A44A,Ida,T103D26P,-76.47764667,3.42476667,T103D261,-76.47796694,3.42285083,T103D26P-T103D261,248
2246,A44A,Ida,T103D261,-76.47796694,3.42285083,T103D263,-76.47836472,3.42066556,T103D261-T103D263,262
2247,A44A,Ida,T103D263,-76.47836472,3.42066556,K27T1031,-76.47822861,3.41751611,T103D263-K27T1031,379
2248,A44A,Ida,K27T1031,-76.47822861,3.41751611,K27C108,-76.47601194,3.41628111,K27T1031-K27C108,281
2249,A44A,Ida,K27C108,-76.47601194,3.41628111,C112K26Q,-76.47383278,3.41722333,K27C108-C112K26Q,353
2250,A44A,Ida,C112K26Q,-76.47383278,3.41722333,C112K26L,-76.47285806,3.41894806,C112K26Q-C112K26L,220
2251,A44A,Ida,C112K26L,-76.47285806,3.41894806,C11226J5,-76.47188389,3.4205775,C112K26L-C11226J5,210
2252,A44A,Ida,C11226J5,-76.47188389,3.4205775,C11226H3,-76.47068083,3.42262667,C11226J5-C11226H3,264
2253,A44A,Ida,C11226H3,-76.47068083,3.42262667,C112K26E,-76.4696925,3.42442389,C11226H3-C112K26E,227
2254,A44A,Ida,C112K26E,-76.4696925,3.42442389,K26CC99,-76.47075778,3.42702944,C112K26E-K26CC99,325
2255,A44A,Ida,K26CC99,-76.47075778,3.42702944,K26GC97,-76.47313333,3.42646833,K26CC99-K26GC97,340
2256,A44A,Ida,K26GC97,-76.47313333,3.42646833,C94K26H,-76.47498583,3.42602944,K26GC97-C94K26H,260
2257,A44A,Ida,C94K26H,-76.47498583,3.42602944,T103C94,-76.4770775,3.426485,C94K26H-T103C94,280
2258,A44A,Ida,T103C94,-76.4770775,3.426485,T103C84,-76.47750333,3.42956694,T103C94-T103C84,377
2259,A44A,Ida,T103C84,-76.47750333,3.42956694,T103C78B,-76.47873083,3.43305861,T103C84-T103C78B,422
