PRODUCTO,INTEGRACION,VEH_ID,QPAX,CRD_SNR,O_ESTACION,D_ESTACION,O_ID_ESTACION,D_ID_ESTACION,TRONCAL,HORA_MATSIM,1_USO,START,END
UNIVIAJE-II,,1302,1,39110,ESTADIO,0,11,0,YES,34020,0,YES,0
UNIVIAJE-II,,1302,1,39110,ESTADIO,0,11,0,YES,37980,0,0,0
UNIVIAJE-II,,1303,1,39110,ESTADIO,0,11,0,YES,42600,0,0,0
UNIVIAJE-II,,1303,1,39110,ESTADIO,0,11,0,YES,56700,0,0,0
UNIVIAJE-II,,1303,1,39110,ESTADIO,0,11,0,YES,66480,0,0,0
UNIVIAJE-II,,1302,1,39110,ESTADIO,0,11,0,YES,78720,0,0,YES
UNIVIAJE-II,,1203,1,39112,TEQUENDAMA,0,10,0,YES,31440,0,YES,0
UNIVIAJE-II,,1203,1,39112,TEQUENDAMA,0,10,0,YES,48900,0,0,YES
UNIVIAJE-II,,3603,1,39113,POPULAR,0,35,0,YES,28080,0,YES,0
UNIVIAJE-II,,3603,1,39113,POPULAR,0,35,0,YES,32100,0,0,0
UNIVIAJE-II,,3603,1,39113,POPULAR,0,35,0,YES,51840,0,0,YES
UNIVIAJE-II,,2003,1,39119,SAN PEDRO,0,25,0,YES,42420,0,YES,0
UNIVIAJE-II,,2003,1,39119,SAN PEDRO,0,25,0,YES,50220,0,0,YES
UNIVIAJE-II,,3002,1,39120,CENTRO,0,28,0,YES,42480,0,YES,0
UNIVIAJE-II,,3001,1,39120,CENTRO,0,28,0,YES,58200,0,0,YES
UNIVIAJE-II,,4401,1,39124,VERSALLES,0,43,0,YES,45660,0,YES,0
UNIVIAJE-II,,4403,1,39124,VERSALLES,0,43,0,YES,49200,0,0,YES
UNIVIAJE-II,,104,1,39127,UNIVERSIDA,0,39,0,YES,25800,0,YES,0
UNIVIAJE-II,,104,1,39127,UNIVERSIDA,0,39,0,YES,31500,0,0,0
UNIVIAJE-II,,104,1,39127,UNIVERSIDA,0,39,0,YES,48300,0,0,0
UNIVIAJE-II,,104,1,39127,UNIVERSIDA,0,39,0,YES,51900,0,0,0
UNIVIAJE-II,,104,1,39127,UNIVERSIDA,0,39,0,YES,58740,0,0,YES
UNIVIAJE-II,,1202,1,39129,TEQUENDAMA,0,10,0,YES,57900,0,YES,0
UNIVIAJE-II,,1203,1,39129,TEQUENDAMA,0,10,0,YES,80880,0,0,YES
UNIVIAJE-II,,1504,1,39131,ST LIBRADA,0,13,0,YES,49680,0,YES,0
UNIVIAJE-II,,1503,1,39131,ST LIBRADA,0,13,0,YES,50460,0,0,0
UNIVIAJE-II,,1503,1,39131,ST LIBRADA,0,13,0,YES,58680,0,0,0
UNIVIAJE-II,,1503,1,39131,ST LIBRADA,0,13,0,YES,75960,0,0,YES
